m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2045, 8093, 1, 30.00, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5087, 8093, 1, 44.12, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5080, 8093, 1, 13.00, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5095, 8093, 1, 8.76, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2040, 8093, 1, 80.00, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5085, 8093, 1, 480.14, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2041, 8093, 1, 12.93, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 2045, 7963, 1, 3.22, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 2045, 7963, 1, 0.41, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 2045, 7963, 1, 1.88, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 2045, 7963, 1, 0.41, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 2045, 7963, 1, 1.18, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 2045, 7963, 1, 0.04, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 80, 810, 2045, 7963, 1, 2.86, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 110, 5087, 7963, 1, 8.74, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 113, 5087, 7963, 1, 1.10, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 115, 5087, 7963, 1, 5.08, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 125, 5087, 7963, 1, 1.10, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 150, 5087, 7963, 1, 3.20, 0.00
m, m, m, m, m, m, m, BP, JV, no, N, 10, 157, 5087, 7963, 1, 0.11, 0.00
